Time	RSS	CPU
1	200384	276.9
3	412400	7.7
5	652676	7.7
7	900504	7.7
10	1.1g	7.7
12	1.3g	7.7
14	1.6g	7.7
16	1.8g	7.7
18	2.0g	7.7
20	2.3g	7.7
23	2.5g	7.7
25	2.7g	7.7
27	2.9g	7.7
29	3.1g	923.1
31	3.1g	942.9
33	3.1g	984.6
35	3.1g	953.8
38	3.1g	1000
40	3.1g	984.6
42	3.1g	984.6
44	3.1g	984.6
46	3.1g	984.6
48	3.1g	984.6
50	3.1g	1000
53	3.1g	1000
55	3.1g	884.6
57	3.1g	942.9
59	3.1g	1000
61	3.1g	969.2
63	3.1g	1000
65	3.1g	1000
67	3.1g	950.0
70	3.1g	1000
72	3.1g	984.6
74	3.1g	1000
76	3.1g	984.6
78	3.1g	1000
80	3.1g	933.3
82	3.1g	821.4
84	3.1g	969.2
86	3.1g	900.0
89	3.1g	953.8
91	3.1g	1000
93	3.1g	1000
95	3.1g	915.4
97	3.1g	1000
99	3.1g	992.3
101	3.1g	807.1
104	3.1g	976.9
106	3.1g	907.1
108	3.1g	900.0
110	3.1g	1000
112	3.1g	984.6
114	3.1g	1000
116	3.1g	1000
119	3.1g	1000
121	3.1g	969.2
123	3.1g	984.6
125	3.1g	1000
127	3.1g	971.4
129	3.1g	907.7
131	3.1g	1000
134	3.1g	984.6
136	3.1g	1000
138	3.1g	942.9
140	3.1g	984.6
142	3.1g	1000
144	3.1g	969.2
146	3.2g	976.9
149	3.2g	1000
151	3.2g	1000
153	3.2g	1000
155	3.2g	992.3
157	3.2g	1000
159	3.2g	984.6
161	3.2g	1000
164	3.2g	1000
166	3.2g	1000
168	3.2g	92.3
